openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,ignore,longAccount,longShortRatio,shortAccount,symbol,timestamp
2021-07-19 08:00:00,31765.23,31890,30358.77,30823.62,486305.627,1626739199999,15114690213.5826,3696993,239872.092,7457837382.74176,0,0.6386,1.767,0.3614,BTCUSDT,2021-07-19 08:00:00
2021-07-20 08:00:00,30823.62,31050,29242.24,29775.9,602688.19,1626825599999,17961608394.4347,4318098,300341.487,8950176484.83061,0,0.6479,1.8401,0.3521,BTCUSDT,2021-07-20 08:00:00
2021-07-21 08:00:00,29775.89,32883.9,29472.41,32120,787077.39,1626911999999,24708991011.4472,5398212,408430.273,12814699908.9462,0,0.5879,1.4266,0.4121,BTCUSDT,2021-07-21 08:00:00
2021-07-22 08:00:00,32120,32583.48,31700,32268.11,397258.936,1626998399999,12754500028.765,3291672,200967.505,6453550589.50494,0,0.5578,1.2614,0.4422,BTCUSDT,2021-07-22 08:00:00
2021-07-23 08:00:00,32268.12,33650,31970.82,33634.46,404650.016,1627084799999,13173247545.9248,3284595,209327.397,6819041424.33657,0,0.5537,1.2406,0.4463,BTCUSDT,2021-07-23 08:00:00
2021-07-24 08:00:00,33631.74,34471,33379.81,34230,376046.028,1627171199999,12732082908.6806,3121090,190979.219,6467135429.17749,0,0.5248,1.1044,0.4752,BTCUSDT,2021-07-24 08:00:00
2021-07-25 08:00:00,34230,35400,33812,35370.66,404114.844,1627257599999,13893942170.5821,3362822,207376.594,7134453269.4537,0,0.5195,1.0812,0.4805,BTCUSDT,2021-07-25 08:00:00
2021-07-26 08:00:00,35370.67,48168.6,35185.49,37218.09,1162332.857,1627343999999,44475672628.6653,9156876,586176.914,22425600825.5228,0,0.4784,0.9172,0.5216,BTCUSDT,2021-07-26 08:00:00
2021-07-27 08:00:00,37218.09,39546.34,36384.31,39442.33,675104.157,1627430399999,25492243891.0093,5881831,340143.342,12848462227.1377,0,0.5802,1.3821,0.4198,BTCUSDT,2021-07-27 08:00:00
2021-07-28 08:00:00,39448.06,40894,38753,40003.08,736196.234,1627516799999,29337785847.176,6959669,365704.726,14579463697.2658,0,0.5657,1.3026,0.4343,BTCUSDT,2021-07-28 08:00:00
2021-07-29 08:00:00,40003.08,40665,39203.83,40012.9,463917.872,1627603199999,18494873369.9317,4559744,233268.288,9302179707.59268,0,0.5025,1.0101,0.4975,BTCUSDT,2021-07-29 08:00:00
2021-07-30 08:00:00,40012.89,42316.6,38320,42203.25,561474.309,1627689599999,22382077430.5068,5291572,284487.227,11351258183.4981,0,0.5039,1.0157,0.4961,BTCUSDT,2021-07-30 08:00:00
2021-07-31 08:00:00,42202.6,42494,41030.19,41448.11,381521.899,1627775999999,15885174209.0189,3846882,186824.054,7779977716.89137,0,0.4952,0.981,0.5048,BTCUSDT,2021-07-31 08:00:00
2021-08-01 08:00:00,41448.1,42614.98,39350.4,39846.78,487529.044,1627862399999,20123271133.8401,4662543,237744.158,9821130502.65732,0,0.5341,1.1464,0.4659,BTCUSDT,2021-08-01 08:00:00
