openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,ignore,longAccount,longShortRatio,shortAccount,symbol,timestamp
2021-08-15 08:00:00,47083.75,47178.99,47052.31,47137.99,1431.21,1628985899999,67426774.33003,13992,703.758,33161150.72822,0,0.6047,1.5297,0.3953,BTCUSDT,2021-08-15 08:00:00
2021-08-15 08:05:00,47138,47168.61,47100.81,47163.44,574.228,1628986199999,27066402.73924,7734,270.878,12768652.28271,0,0.5963,1.4771,0.4037,BTCUSDT,2021-08-15 08:05:00
2021-08-15 08:10:00,47163.36,47229.09,47117.37,47164.67,1353.794,1628986499999,63870595.91409,12809,668.655,31550005.3225,0,0.5952,1.4704,0.4048,BTCUSDT,2021-08-15 08:10:00
2021-08-15 08:15:00,47164.66,47250,47150.56,47195.83,1001.917,1628986799999,47300128.27051,10147,490.202,23145567.38409,0,0.5957,1.4734,0.4043,BTCUSDT,2021-08-15 08:15:00
2021-08-15 08:20:00,47197.99,47228,47115.12,47204.36,770.206,1628987099999,36327676.06854,9709,347.983,16415209.58964,0,0.596,1.4752,0.404,BTCUSDT,2021-08-15 08:20:00
2021-08-15 08:25:00,47204.36,47208.84,47080,47102.46,632.752,1628987399999,29811640.74794,7738,199.784,9412712.54336,0,0.5954,1.4716,0.4046,BTCUSDT,2021-08-15 08:25:00
2021-08-15 08:30:00,47102.46,47130.99,46919.02,46967.32,1801.338,1628987699999,84678405.03203,16249,675.684,31764202.59878,0,0.5962,1.4765,0.4038,BTCUSDT,2021-08-15 08:30:00
2021-08-15 08:35:00,46967.32,47074.5,46926.63,47074.5,876.381,1628987999999,41180247.13978,10751,484.266,22757291.43894,0,0.5942,1.4643,0.4058,BTCUSDT,2021-08-15 08:35:00
2021-08-15 08:40:00,47074.49,47074.5,47005,47030.96,473.804,1628988299999,22286368.3468,6524,260.787,12266533.88749,0,0.594,1.4631,0.406,BTCUSDT,2021-08-15 08:40:00
2021-08-15 08:45:00,47030.96,47096.59,46980,47085.36,795.468,1628988599999,37419857.43169,8007,475.842,22388692.20085,0,0.5941,1.4637,0.4059,BTCUSDT,2021-08-15 08:45:00
2021-08-15 08:50:00,47085.36,47150,47045.38,47131.5,600.956,1628988899999,28309216.58703,7370,339.749,16004462.14674,0,0.5925,1.454,0.4075,BTCUSDT,2021-08-15 08:50:00
2021-08-15 08:55:00,47131.49,47200,47120.07,47199.62,605.192,1628989199999,28549322.21767,8030,275.286,12986857.77795,0,0.5941,1.4637,0.4059,BTCUSDT,2021-08-15 08:55:00
2021-08-15 09:00:00,47199.63,47230,47117.5,47132.34,889.825,1628989499999,41986827.77048,10742,381.599,18008953.0198,0,0.5935,1.46,0.4065,BTCUSDT,2021-08-15 09:00:00
2021-08-15 09:05:00,47132.35,47209.75,47125.88,47166.8,508.801,1628989799999,24006949.80152,6906,282.299,13320204.76969,0,0.5933,1.4588,0.4067,BTCUSDT,2021-08-15 09:05:00
2021-08-15 09:10:00,47166.8,47210,47135.24,47143.31,484.218,1628990099999,22849549.65675,6191,269.04,12697128.96802,0,0.5932,1.4582,0.4068,BTCUSDT,2021-08-15 09:10:00
