openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,ignore
2021-09-24 15:00:00,44091.78,45134.33,44083.00,44785.01,31926.696,1632470399999,1427921881.34017,268140,17671.880,790361627.31760,0
2021-09-24 16:00:00,44785.01,45050.00,44380.00,44500.00,18494.095,1632473999999,828553901.84303,172237,8595.260,385129061.64823,0
2021-09-24 17:00:00,44500.00,44514.39,42331.39,42357.05,95662.931,1632477599999,4133123490.30334,795336,45909.317,1984299392.78871,0
2021-09-24 18:00:00,42357.04,42699.17,41928.21,42155.88,50877.032,1632481199999,2152060718.47767,442087,26174.049,1107482478.64511,0
2021-09-24 19:00:00,42155.89,42300.00,40650.00,41510.06,85272.035,1632484799999,3529959584.39216,715210,41661.941,1724999001.83091,0
2021-09-24 20:00:00,41510.06,41619.56,40938.82,41155.46,37019.590,1632488399999,1528382412.92889,314054,18493.939,763773757.49497,0
2021-09-24 21:00:00,41161.79,41970.00,40818.19,41800.00,52688.653,1632491999999,2183141710.31144,413336,28170.956,1167499256.15757,0
2021-09-24 22:00:00,41800.00,42640.64,41721.83,42417.12,44848.252,1632495599999,1895401281.85218,350622,23673.104,1000522444.31568,0
2021-09-24 23:00:00,42417.13,42450.00,41588.00,41927.65,26077.318,1632499199999,1094990250.48189,228012,12259.776,514756399.74270,0
2021-09-25 00:00:00,41927.63,42349.19,41829.06,42173.77,17895.273,1632502799999,753216367.32134,172430,9693.930,408146647.74619,0
2021-09-25 01:00:00,42174.77,42174.78,41722.80,41977.67,13730.980,1632506399999,575861376.29614,138276,6731.183,282300393.31006,0
2021-09-25 02:00:00,41980.57,42298.82,41909.41,42128.69,10243.019,1632509999999,431530018.29080,104205,5382.177,226758622.55026,0
2021-09-25 03:00:00,42128.69,42500.00,42111.38,42337.69,9886.209,1632513599999,418213847.11421,99082,4990.283,211139027.47451,0
2021-09-25 04:00:00,42337.68,42972.00,42271.87,42918.11,15265.791,1632517199999,652015526.08759,143857,8858.396,378399257.78766,0
2021-09-25 05:00:00,42918.11,43196.82,42815.32,42896.89,12454.684,1632520799999,535490521.48034,121036,6434.179,276723467.77072,0
2021-09-25 06:00:00,42896.90,43080.00,42736.88,42985.93,8654.918,1632524399999,371227502.43317,91534,4389.530,188300800.50711,0
2021-09-25 07:00:00,42985.93,43020.26,42500.00,42798.49,9875.822,1632527999999,421971331.38810,98041,4578.787,195700966.02292,0
2021-09-25 08:00:00,42798.49,42938.00,42529.09,42711.11,11001.446,1632531599999,469935754.63224,106275,5241.090,223909635.94968,0
2021-09-25 09:00:00,42710.96,42766.42,42010.76,42379.81,15554.780,1632535199999,658392553.16845,146438,7590.653,321331733.51453,0
2021-09-25 10:00:00,42375.84,42720.00,42258.38,42326.25,9671.554,1632538799999,410894744.87458,98086,4835.305,205511056.54243,0
2021-09-25 11:00:00,42326.24,42751.61,42316.55,42588.72,8136.568,1632542399999,346296936.90736,88364,4352.063,185219996.43418,0
2021-09-25 12:00:00,42588.73,42849.34,42588.72,42667.40,6606.185,1632545999999,282375562.42268,77197,3326.386,142197272.16351,0
2021-09-25 13:00:00,42667.41,42825.46,42374.57,42428.32,11058.053,1632549599999,470615458.36978,104976,5215.731,222031570.22347,0
2021-09-25 14:00:00,42428.31,42800.00,42410.31,42724.92,7503.848,1632553199999,320007505.44914,72864,4141.578,176635096.29750,0
2021-09-25 15:00:00,42724.92,42769.00,42172.00,42357.97,13037.725,1632556799999,553056762.85176,120229,6113.031,259298998.57491,0
2021-09-25 16:00:00,42350.10,42765.99,41630.26,42625.40,33637.657,1632560399999,1417041395.74494,291142,16944.123,713995261.26416,0
2021-09-25 17:00:00,42625.39,42892.10,42435.55,42632.44,21408.401,1632563999999,913185132.38335,185580,10991.605,468938320.79055,0
2021-09-25 18:00:00,42632.45,42950.00,42577.90,42665.99,12003.580,1632567599999,513639251.23395,111620,5926.251,253574871.26214,0
2021-09-25 19:00:00,42665.99,42665.99,42213.51,42472.89,14811.456,1632571199999,627864488.16133,136514,7862.336,333304193.81388,0
2021-09-25 20:00:00,42472.89,42617.34,42276.00,42330.14,10756.754,1632574799999,456316481.38299,108087,5162.788,219022209.34826,0
2021-09-25 21:00:00,42330.00,42743.44,42223.00,42485.00,13218.231,1632578399999,562347480.98536,123238,6414.948,272906614.51828,0
2021-09-25 22:00:00,42485.01,42591.13,42145.18,42334.54,15532.306,1632581999999,657312555.96285,138438,7904.406,334563764.59595,0
