openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,ignore
2021-09-24 15:30:00,44605.29,45134.33,44521.29,44785.01,17516.365,1632470399999,785937125.69567,148408,9825.898,440907538.52008,0
2021-09-24 16:00:00,44785.01,45050.00,44734.23,45019.66,7112.595,1632472199999,319578475.87126,72736,3519.310,158153619.93997,0
2021-09-24 16:30:00,45019.66,45029.99,44380.00,44500.00,11381.500,1632473999999,508975425.97177,99501,5075.950,226975441.70826,0
2021-09-24 17:00:00,44500.00,44514.39,42601.60,42787.24,60907.282,1632475799999,2645340634.42983,502783,29295.616,1272741835.16984,0
2021-09-24 17:30:00,42785.29,43177.93,42331.39,42357.05,34755.649,1632477599999,1487782855.87351,292553,16613.701,711557557.61887,0
2021-09-24 18:00:00,42357.04,42699.17,42185.55,42478.50,22558.569,1632479399999,957893010.50118,208020,11707.376,497264912.25072,0
2021-09-24 18:30:00,42478.49,42478.50,41928.21,42155.88,28318.463,1632481199999,1194167707.97649,234067,14466.673,610217566.39439,0
2021-09-24 19:00:00,42155.89,42300.00,40650.00,41489.44,59132.049,1632482999999,2449365704.64396,479329,28425.132,1177675792.37969,0
2021-09-24 19:30:00,41489.44,41677.23,40914.71,41510.06,26139.986,1632484799999,1080593879.74820,235881,13236.809,547323209.45122,0
2021-09-24 20:00:00,41510.06,41619.56,41034.73,41548.92,19586.017,1632486599999,809126981.89502,172888,10216.981,422213531.10162,0
2021-09-24 20:30:00,41548.92,41567.73,40938.82,41155.46,17433.573,1632488399999,719255431.03387,141166,8276.958,341560226.39335,0
2021-09-24 21:00:00,41161.79,41310.73,40818.19,41129.06,18328.754,1632490199999,752487281.31308,160455,9497.172,390024654.70735,0
2021-09-24 21:30:00,41128.65,41970.00,41050.60,41800.00,34359.899,1632491999999,1430654428.99836,252881,18673.784,777474601.45022,0
2021-09-24 22:00:00,41800.00,42608.00,41721.83,42450.00,28704.351,1632493799999,1210336270.38748,220596,15693.229,661846848.55010,0
2021-09-24 22:30:00,42450.00,42640.64,42280.00,42417.12,16143.901,1632495599999,685065011.46470,130026,7979.875,338675595.76558,0
2021-09-24 23:00:00,42417.13,42450.00,42093.00,42193.42,9033.116,1632497399999,381572715.33402,85050,4153.915,175481697.48742,0
2021-09-24 23:30:00,42193.42,42213.77,41588.00,41927.65,17044.202,1632499199999,713417535.14787,142962,8105.861,339274702.25528,0
2021-09-25 00:00:00,41927.63,42247.13,41829.06,42135.50,11113.580,1632500999999,467069401.72329,106718,5865.703,246577149.40498,0
2021-09-25 00:30:00,42135.49,42349.19,42060.56,42173.77,6781.693,1632502799999,286146965.59805,65712,3828.227,161569498.34121,0
2021-09-25 01:00:00,42174.77,42174.78,41888.00,42136.82,5981.208,1632504599999,251376430.60165,65588,2933.174,123294833.64680,0
2021-09-25 01:30:00,42136.81,42136.81,41722.80,41977.67,7749.772,1632506399999,324484945.69449,72688,3798.009,159005559.66326,0
2021-09-25 02:00:00,41980.57,42261.20,41909.41,42190.24,5203.387,1632508199999,219103214.85953,53325,2937.404,123695485.99801,0
2021-09-25 02:30:00,42190.33,42298.82,41990.00,42128.69,5039.632,1632509999999,212426803.43127,50880,2444.773,103063136.55225,0
2021-09-25 03:00:00,42128.69,42345.60,42111.38,42315.26,3568.912,1632511799999,150754576.94313,40353,1811.794,76536367.01990,0
2021-09-25 03:30:00,42315.26,42500.00,42177.00,42337.69,6317.297,1632513599999,267459270.17108,58729,3178.489,134602660.45461,0
2021-09-25 04:00:00,42337.68,42498.00,42271.87,42493.43,3434.631,1632515399999,145722271.91434,40909,1848.689,78442115.77434,0
2021-09-25 04:30:00,42493.42,42972.00,42451.63,42918.11,11831.160,1632517199999,506293254.17325,102948,7009.707,299957142.01332,0
2021-09-25 05:00:00,42918.11,43140.28,42887.02,42960.15,7317.224,1632518999999,314593191.39619,70672,3804.135,163586295.19216,0
2021-09-25 05:30:00,42960.16,43196.82,42815.32,42896.89,5137.460,1632520799999,220897330.08415,50364,2630.044,113137172.57856,0
2021-09-25 06:00:00,42896.90,42968.08,42770.76,42794.50,3663.109,1632522599999,156991382.93983,45444,1709.571,73281636.39557,0
2021-09-25 06:30:00,42794.50,43080.00,42736.88,42985.93,4991.809,1632524399999,214236119.49334,46090,2679.959,115019164.11154,0
2021-09-25 07:00:00,42985.93,43020.26,42822.00,42867.37,2676.071,1632526199999,114802138.47856,32974,1288.578,55276722.44193,0
2021-09-25 07:30:00,42867.36,42869.64,42500.00,42798.49,7199.751,1632527999999,307169192.90954,65067,3290.209,140424243.58099,0
2021-09-25 08:00:00,42798.49,42938.00,42570.73,42668.65,6174.188,1632529799999,264014982.18091,57203,2874.826,122961188.70574,0
2021-09-25 08:30:00,42670.55,42810.00,42529.09,42711.11,4827.258,1632531599999,205920772.45133,49072,2366.264,100948447.24394,0
2021-09-25 09:00:00,42710.96,42766.42,42087.21,42130.61,8600.398,1632533399999,364564806.72771,80888,3833.501,162554366.16783,0
2021-09-25 09:30:00,42130.60,42441.12,42010.76,42379.81,6954.382,1632535199999,293827746.44074,65550,3757.152,158777367.34670,0
2021-09-25 10:00:00,42375.84,42548.95,42322.79,42492.42,3868.641,1632536999999,164251301.35639,42430,2024.200,85956422.03735,0
2021-09-25 10:30:00,42492.42,42720.00,42258.38,42326.25,5802.913,1632538799999,246643443.51819,55656,2811.105,119554634.50508,0
2021-09-25 11:00:00,42326.24,42666.63,42316.55,42540.72,4399.382,1632540599999,186904038.71337,45450,2425.297,103034719.94033,0
2021-09-25 11:30:00,42539.30,42751.61,42539.30,42588.72,3737.186,1632542399999,159392898.19399,42914,1926.766,82185276.49385,0
2021-09-25 12:00:00,42588.73,42849.34,42588.72,42808.86,4007.383,1632544199999,171330968.38104,45622,2178.982,93161719.03882,0
2021-09-25 12:30:00,42808.85,42828.87,42629.03,42667.40,2598.802,1632545999999,111044594.04164,31575,1147.404,49035553.12469,0
2021-09-25 13:00:00,42667.41,42825.46,42374.57,42436.00,5930.271,1632547799999,252310085.93348,57281,2663.855,113376663.43952,0
2021-09-25 13:30:00,42436.00,42730.47,42419.43,42428.32,5127.782,1632549599999,218305372.43630,47695,2551.876,108654906.78395,0
2021-09-25 14:00:00,42428.31,42677.29,42410.31,42621.59,3311.457,1632551399999,140897896.43494,34611,1770.234,75319483.33287,0
2021-09-25 14:30:00,42621.60,42800.00,42621.56,42724.92,4192.391,1632553199999,179109609.01420,38253,2371.344,101315612.96463,0
2021-09-25 15:00:00,42724.92,42769.00,42311.00,42332.70,5333.127,1632554999999,226778755.17795,48557,2202.335,93668618.16458,0
2021-09-25 15:30:00,42332.71,42515.94,42172.00,42357.97,7704.598,1632556799999,326278007.67381,71672,3910.696,165630380.41033,0
2021-09-25 16:00:00,42350.10,42509.98,42020.00,42112.51,9955.765,1632558599999,420089657.08235,87770,4724.230,199356541.37828,0
2021-09-25 16:30:00,42112.50,42765.99,41630.26,42625.40,23681.892,1632560399999,996951738.66259,203372,12219.893,514638719.88588,0
2021-09-25 17:00:00,42625.39,42804.72,42435.55,42715.34,13268.142,1632562199999,565235828.85735,113738,6883.671,293310317.96254,0
2021-09-25 17:30:00,42715.34,42892.10,42541.80,42632.44,8140.259,1632563999999,347949303.52600,71842,4107.934,175628002.82801,0
2021-09-25 18:00:00,42632.45,42950.00,42626.01,42846.76,7834.088,1632565799999,335649608.60944,65511,3956.679,169488733.51921,0
2021-09-25 18:30:00,42846.75,42882.94,42577.90,42665.99,4169.492,1632567599999,177989642.62451,46109,1969.572,84086137.74293,0
2021-09-25 19:00:00,42665.99,42665.99,42213.51,42350.50,9376.762,1632569399999,397416800.73591,87738,4445.571,188409436.12959,0
2021-09-25 19:30:00,42350.49,42540.54,42300.57,42472.89,5434.694,1632571199999,230447687.42542,48776,3416.765,144894757.68429,0
2021-09-25 20:00:00,42472.89,42617.34,42276.00,42475.72,6849.257,1632572999999,290714907.24926,67038,3239.739,137521149.26801,0
2021-09-25 20:30:00,42475.72,42527.47,42296.34,42330.14,3907.497,1632574799999,165601574.13373,41049,1923.049,81501060.08025,0
2021-09-25 21:00:00,42330.00,42743.44,42223.00,42538.42,8891.845,1632576599999,378332158.05379,78075,4414.284,187807006.48357,0
2021-09-25 21:30:00,42538.42,42650.00,42421.69,42485.00,4326.386,1632578399999,184015322.93157,45163,2000.664,85099608.03471,0
2021-09-25 22:00:00,42485.01,42591.13,42145.18,42302.70,9431.743,1632580199999,399195275.59584,84340,4679.212,198070238.30506,0
2021-09-25 22:30:00,42302.71,42415.60,42201.00,42334.54,6100.563,1632581999999,258117280.36701,54098,3225.194,136493526.29089,0
2021-09-25 23:00:00,42334.55,42650.00,42214.63,42643.61,7164.856,1632583799999,304101363.23510,69515,3729.218,158307668.20668,0
2021-09-25 23:30:00,42642.57,42749.69,42551.00,42644.01,5561.191,1632585599999,237142839.46808,52721,2774.858,118344120.09677,0
2021-09-26 00:00:00,42644.01,42722.07,42340.00,42543.73,7854.342,1632587399999,333555550.87567,74802,3964.535,168350868.32471,0
2021-09-26 00:30:00,42543.73,42719.00,42437.00,42610.78,5894.332,1632589199999,251029101.20590,56626,2696.505,114844039.56496,0
2021-09-26 01:00:00,42610.79,42660.00,42502.49,42654.86,3015.195,1632590999999,128435792.00358,34173,1563.858,66626443.33397,0
2021-09-26 01:30:00,42654.87,42695.30,42522.58,42574.39,3043.449,1632592799999,129702342.43467,35227,1484.004,63247470.03483,0
2021-09-26 02:00:00,42574.39,42800.00,42409.41,42517.69,6505.572,1632594599999,277072087.43676,58251,3159.127,134612112.47874,0
2021-09-26 02:30:00,42517.69,42685.08,42424.49,42556.25,6378.014,1632596399999,271443386.17477,50726,3249.765,138332817.73356,0
2021-09-26 03:00:00,42556.25,42692.93,42480.21,42666.00,2798.855,1632598199999,119252302.91242,31546,1388.212,59149536.25510,0
2021-09-26 03:30:00,42668.12,42744.00,42570.24,42637.26,2511.905,1632599999999,107181813.60149,31741,1268.391,54124017.53180,0
2021-09-26 04:00:00,42637.02,42666.87,42506.63,42528.84,2285.520,1632601799999,97298121.89297,30686,1216.668,51796433.35769,0
2021-09-26 04:30:00,42528.83,42792.00,42526.43,42623.45,3410.553,1632603599999,145576615.11846,41194,1771.013,75590969.54206,0
2021-09-26 05:00:00,42623.44,42651.86,42356.00,42482.81,4691.490,1632605399999,199366850.09439,49051,2125.304,90313207.97537,0
2021-09-26 05:30:00,42481.05,42700.00,42480.62,42658.98,2253.694,1632607199999,96002693.58246,26303,1331.359,56724473.63805,0
2021-09-26 06:00:00,42658.98,42738.12,42558.40,42658.65,2646.528,1632608999999,112918174.91150,30459,1311.779,55969136.76226,0
2021-09-26 06:30:00,42658.37,42774.44,42656.10,42702.45,2163.418,1632610799999,92413302.51952,25163,1270.292,54263957.27220,0
2021-09-26 07:00:00,42705.07,42790.00,42556.42,42677.00,3133.532,1632612599999,133632910.36397,32561,1843.329,78607790.30853,0
2021-09-26 07:30:00,42677.00,42745.74,42629.24,42651.58,1833.805,1632614399999,78305496.62140,24253,946.724,40423936.70668,0
2021-09-26 08:00:00,42646.84,42714.00,42380.00,42489.52,5294.869,1632616199999,225138891.59702,51821,2773.880,117952516.00096,0
2021-09-26 08:30:00,42486.72,42581.00,42278.56,42560.42,4617.708,1632617999999,195999508.88042,49137,2415.948,102568584.70926,0
2021-09-26 09:00:00,42561.00,42600.00,42365.44,42478.99,3177.068,1632619799999,134973292.53312,33959,1570.612,66742228.55015,0
2021-09-26 09:30:00,42479.00,42503.41,42093.53,42372.53,6392.927,1632621599999,270206523.73023,66144,3101.079,131078942.79476,0
2021-09-26 10:00:00,42373.71,42418.81,41885.82,41980.02,8235.561,1632623399999,346575286.03546,80612,3978.881,167438261.74908,0
2021-09-26 10:30:00,41980.00,42220.00,41901.02,42053.76,5134.965,1632625199999,216038490.58580,55710,2771.784,116629322.57535,0
2021-09-26 11:00:00,42053.75,42318.54,41904.04,42277.33,4570.234,1632626999999,192403037.49812,49984,2561.874,107875177.62944,0
2021-09-26 11:30:00,42279.12,42387.84,42121.72,42196.89,3733.464,1632628799999,157751085.38678,41647,1852.730,78290515.66125,0
2021-09-26 12:00:00,42196.88,42202.81,42008.10,42049.46,3210.115,1632630599999,135141842.50802,38910,1633.552,68780051.47046,0
2021-09-26 12:30:00,42049.45,42243.47,41832.93,42198.98,6664.954,1632632399999,280130770.35159,64295,3252.097,136740298.49567,0
2021-09-26 13:00:00,42201.24,42288.12,42110.00,42139.97,3555.483,1632634199999,150022273.57372,38474,1695.189,71544572.89624,0
