openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,ignore,longAccount,longShortRatio,shortAccount,symbol,timestamp
2022-03-21 08:00:00,41261,41290.2,41205.5,41262.5,580.884,1647821099999,23960112.91457,5811,227.95,9403817.79559,0,0.5846,1.4073,0.4154,BTCUSDT,2022-03-21 08:00:00
2022-03-21 14:00:00,40918.9,41481.1,40738.4,41218.7,62075.789,1647863999999,2553710508.97916,588186,30934.945,1272909765.88524,0,0.6035,1.5221,0.3965,BTCUSDT,2022-03-21 14:00:00
2022-03-21 20:00:00,41218.8,41544.4,40727.7,41035.7,126194.421,1647885599999,5177791717.28814,971582,63160.665,2591671016.55582,0,0.589,1.4331,0.411,BTCUSDT,2022-03-21 20:00:00
2022-03-22 02:00:00,41035.7,41350.0,40845.0,40982.0,52206.455,1647907199999,2145602957.1413,432231,26805.232,1101738085.40081,0,0.6266,1.6781,0.3734,BTCUSDT,2022-03-22 02:00:00
2022-03-22 08:00:00,40982.0,43517.7,40852.0,42903.0,135231.148,1647928799999,5709580576.18054,1151511,73298.342,3095973829.59582,0,0.6158,1.6028,0.3842,BTCUSDT,2022-03-22 08:00:00
