openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,ignore,longAccount,longShortRatio,shortAccount,symbol,timestamp
2022-03-21 08:00:00,41261,41290.2,41205.5,41262.5,580.884,1647821099999,23960112.91457,5811,227.95,9403817.79559,0,0.5846,1.4073,0.4154,BTCUSDT,2022-03-21 08:00:00
2022-03-21 09:00:00,41404.9,41443.8,41156.0,41215.0,8499.539,1647827999999,350735325.12585,64490,3757.264,155014858.74745,0,0.5664,1.3063,0.4336,BTCUSDT,2022-03-21 09:00:00
2022-03-21 10:00:00,41215.1,41274.4,40430.0,40785.4,30320.056,1647831599999,1234677808.30617,242468,13530.23,550758363.22843,0,0.5727,1.3403,0.4273,BTCUSDT,2022-03-21 10:00:00
2022-03-21 11:00:00,40785.5,40967.0,40669.6,40811.3,8447.374,1647835199999,344717990.74988,85736,4266.5,174121193.76242,0,0.5982,1.4888,0.4018,BTCUSDT,2022-03-21 11:00:00
2022-03-21 12:00:00,40811.7,40903.1,40676.94,40840.8,7754.341,1647838799999,316333179.02806,69052,4138.677,168861641.19034,0,0.5979,1.4869,0.4021,BTCUSDT,2022-03-21 12:00:00
2022-03-21 13:00:00,40840.8,40941.3,40810.0,40918.9,6097.925,1647842399999,249256484.57518,57382,3472.743,141964108.10718,0,0.6001,1.5006,0.3999,BTCUSDT,2022-03-21 13:00:00
2022-03-21 14:00:00,40918.9,41064.0,40738.4,40832.8,10844.093,1647845999999,443676029.29864,108337,5496.4,224942952.8815,0,0.6035,1.5221,0.3965,BTCUSDT,2022-03-21 14:00:00
2022-03-21 15:00:00,40832.8,41129.9,40750.0,41076.4,12498.676,1647849599999,512303434.06183,98126,5807.511,238044332.33381,0,0.6061,1.5387,0.3939,BTCUSDT,2022-03-21 15:00:00
2022-03-21 16:00:00,41076.5,41341.4,41057.2,41135.3,12327.771,1647853199999,507963337.64532,119892,6178.26,254600135.89465,0,0.6032,1.5202,0.3968,BTCUSDT,2022-03-21 16:00:00
2022-03-21 17:00:00,41135.3,41347.3,41055.8,41308.4,9269.597,1647856799999,381992841.79066,87622,4771.169,196652364.36066,0,0.5912,1.4462,0.4088,BTCUSDT,2022-03-21 17:00:00
2022-03-21 18:00:00,41308.3,41422.0,41236.8,41306.3,7008.354,1647860399999,289607760.54215,75112,3576.805,147835365.02427,0,0.5875,1.4242,0.4125,BTCUSDT,2022-03-21 18:00:00
2022-03-21 19:00:00,41306.3,41481.1,41150.1,41218.7,10127.298,1647863999999,418167105.64056,99097,5104.8,210834615.39035,0,0.5868,1.4201,0.4132,BTCUSDT,2022-03-21 19:00:00
2022-03-21 20:00:00,41218.8,41286.6,40890.9,41203.1,17416.807,1647867599999,715431046.52037,142088,9215.085,378600111.22622,0,0.589,1.4331,0.411,BTCUSDT,2022-03-21 20:00:00
2022-03-21 21:00:00,41203.1,41544.4,41066.7,41085.0,22052.163,1647871199999,910450731.51511,193194,10927.116,451250545.78414,0,0.5995,1.4969,0.4005,BTCUSDT,2022-03-21 21:00:00
2022-03-21 22:00:00,41085.0,41187.7,40727.7,41016.7,30926.82,1647874799999,1265274285.28624,219589,15590.575,637890474.17098,0,0.6014,1.5088,0.3986,BTCUSDT,2022-03-21 22:00:00
2022-03-21 23:00:00,41015.9,41237.7,40874.9,41198.3,19957.887,1647878399999,820033380.09336,142670,9561.218,392853987.07858,0,0.6289,1.6947,0.3711,BTCUSDT,2022-03-21 23:00:00
2022-03-22 00:00:00,41198.3,41213.9,40751.0,40768.6,18460.656,1647881999999,755553869.9339,148884,8905.647,364448005.86063,0,0.6197,1.6295,0.3803,BTCUSDT,2022-03-22 00:00:00
2022-03-22 01:00:00,40768.5,41056.9,40730.1,41035.7,17380.088,1647885599999,711048403.93916,125157,8961.024,366627892.43527,0,0.6272,1.6824,0.3728,BTCUSDT,2022-03-22 01:00:00
2022-03-22 02:00:00,41035.7,41149.5,40916.4,40924.3,12675.944,1647889199999,520170825.48115,86253,6177.706,253514925.79549,0,0.6266,1.6781,0.3734,BTCUSDT,2022-03-22 02:00:00
2022-03-22 03:00:00,40924.4,41186.0,40845.0,41168.0,10102.275,1647892799999,414177329.40856,84888,5439.271,223010514.56706,0,0.6216,1.6427,0.3784,BTCUSDT,2022-03-22 03:00:00
2022-03-22 04:00:00,41168.1,41276.3,41099.5,41104.3,9051.888,1647896399999,372652813.8332,65273,4458.731,183563366.99486,0,0.6196,1.6288,0.3804,BTCUSDT,2022-03-22 04:00:00
2022-03-22 05:00:00,41104.2,41320.9,41039.0,41278.0,7014.703,1647899999999,288775055.92988,64423,4124.564,169827346.79938,0,0.6112,1.572,0.3888,BTCUSDT,2022-03-22 05:00:00
2022-03-22 06:00:00,41278.0,41350.0,41090.1,41098.1,7492.244,1647903599999,308993159.28277,69281,3713.981,153196140.80757,0,0.6097,1.5621,0.3903,BTCUSDT,2022-03-22 06:00:00
2022-03-22 07:00:00,41098.1,41147.8,40933.0,40982.0,5869.401,1647907199999,240833773.20574,62113,2890.979,118625790.43645,0,0.6122,1.5786,0.3878,BTCUSDT,2022-03-22 07:00:00
2022-03-22 08:00:00,40982.0,41143.0,40852.0,41106.5,8572.611,1647910799999,351340711.51716,73505,4145.58,169903334.47023,0,0.6158,1.6028,0.3842,BTCUSDT,2022-03-22 08:00:00
2022-03-22 09:00:00,41106.5,41175.0,41004.0,41148.9,5104.26,1647914399999,209784456.20356,53151,2366.558,97273752.78381,0,0.6207,1.6364,0.3793,BTCUSDT,2022-03-22 09:00:00
2022-03-22 10:00:00,41149.0,41999.0,41119.0,41815.9,41464.948,1647917999999,1729212745.50553,316823,22000.304,917284420.35924,0,0.617,1.611,0.383,BTCUSDT,2022-03-22 10:00:00
2022-03-22 11:00:00,41815.9,42500.0,41813.6,42230.0,26810.742,1647921599999,1131929047.73059,227007,15763.273,665561674.72222,0,0.565,1.2989,0.435,BTCUSDT,2022-03-22 11:00:00
2022-03-22 12:00:00,42230.0,43517.7,42223.2,42992.4,42633.482,1647925199999,1830292711.20563,370184,23932.966,1027417881.40374,0,0.541,1.1786,0.459,BTCUSDT,2022-03-22 12:00:00
