openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,ignore
2022-03-22 23:20:00,42755.20,42770.80,42702.30,42752.90,649.849,1647962699999,27775819.25910,7259,325.271,13903763.87220,0
2022-03-22 23:25:00,42752.80,42755.00,42670.10,42692.90,799.066,1647962999999,34123644.64050,7505,327.417,13982270.47370,0
2022-03-22 23:30:00,42692.90,42695.10,42552.00,42664.20,2141.327,1647963299999,91268090.99013,20635,839.566,35790706.82870,0
2022-03-22 23:35:00,42664.10,42669.00,42615.00,42642.00,389.804,1647963599999,16621474.54260,3395,219.002,9337788.42490,0
